receipt_no,completion_date,transaction_details,hour,period,direction,amount
TKNLAAVPUD,2025-11-23 10:44:00,Payment small business,10,morning,expense,30
TKNLAAVV91,2025-11-23 11:12:00,Bundle purchase,11,morning,expense,5
TKNLAAWEAA,2025-11-23 15:22:00,Merchant payment,15,afternoon,expense,10
TKNLAAWS8S,2025-11-23 17:17:00,Merchant payment,17,evening,expense,30
TKNLAAWSCM,2025-11-23 17:24:00,M-Shwari Withdraw,17,evening,income,150
TKNLAAWYW5,2025-11-23 17:37:00,Merchant payment,17,evening,expense,120
TKNLAAX4TX,2025-11-23 17:48:00,Payment small business,17,evening,expense,40
TKNLAAX4UU,2025-11-23 17:49:00,M-Shwari Withdraw,17,evening,income,100
TKNLAAWY5K,2025-11-23 17:50:00,Payment small business,17,evening,expense,70
TKNLAAX1GG,2025-11-23 18:34:00,Payment small business,18,evening,expense,20
TKNLAAX8ZR,2025-11-23 19:06:00,M-Shwari Withdraw,19,evening,income,100
TKNLAAX908,2025-11-23 19:07:00,Merchant payment,19,evening,expense,80
TKNLAAXIFA,2025-11-23 19:59:00,Airtime Purchase,19,evening,expense,5
TKNLAAXPA9,2025-11-23 20:18:00,Payment small business,20,evening,expense,50
TKOLAAYDJH,2025-11-24 06:57:00,M-Shwari Withdraw,6,morning,income,200
TKOLAAY9CN,2025-11-24 06:58:00,Payment small business,6,morning,expense,20
TKOLAAYDP2,2025-11-24 07:15:00,Payment small business,7,morning,expense,100
TKOLAAY8UI,2025-11-24 08:25:00,Send money,8,morning,expense,20
TKOLAAYAE9,2025-11-24 08:31:00,Payment small business,8,morning,expense,50
TKOLAAZPOH,2025-11-24 16:14:00,Send money,16,afternoon,expense,50
TKOLAAZR74,2025-11-24 16:14:00,M-Shwari Withdraw,16,afternoon,income,100
TKOLAB01C4,2025-11-24 18:26:00,Payment small business,18,evening,expense,30
TKOLAB04K7,2025-11-24 18:37:00,M-Shwari Withdraw,18,evening,income,200
TKOLAB04L9,2025-11-24 18:38:00,Payment small business,18,evening,expense,100
TKOLAB032T,2025-11-24 18:39:00,Payment small business,18,evening,expense,10
TKOLAB0N29,2025-11-24 20:31:00,Payment small business,20,evening,expense,50
TKOLAB0TXQ,2025-11-24 20:40:00,Payment small business,20,evening,expense,20
TKOLAB0TGM,2025-11-24 21:11:00,Payment small business,21,night,expense,35
TKOLAB0UK8,2025-11-24 21:18:00,Payment small business,21,night,expense,13
TKPLAB1NIJ,2025-11-25 08:58:00,M-Shwari Withdraw,8,morning,income,200
TKPLAB1JAI,2025-11-25 09:02:00,Pay Bill Charge,9,morning,expense,5
TKPLAB1JAI,2025-11-25 09:02:00,Paybill,9,morning,expense,155
TKPLAB1HW0,2025-11-25 09:04:00,Merchant payment,9,morning,expense,40
TKPLAB1ZGV,2025-11-25 10:39:00,Merchant payment,10,morning,expense,20
TKPLAB1SSS,2025-11-25 11:05:00,Bundle purchase,11,morning,expense,12
TKPLAB219Z,2025-11-25 11:36:00,M-Shwari Withdraw,11,morning,income,100
TKPLAB21AF,2025-11-25 11:37:00,Send money,11,morning,expense,50
TKPLAB24AL,2025-11-25 12:02:00,Merchant payment,12,morning,expense,10
TKPLAB2NXP,2025-11-25 14:57:00,Bank transfer,14,afternoon,income,500
TKPLAB2LWE,2025-11-25 15:01:00,Send money,15,afternoon,expense,40
TKPLAB2HL2,2025-11-25 15:03:00,Paybill,15,afternoon,expense,100
TKPLAB3Y4O,2025-11-25 21:39:00,Merchant payment,21,night,expense,25
TKPLAB43WH,2025-11-25 21:45:00,Merchant payment,21,night,expense,20
TKPLAB42L0,2025-11-25 21:50:00,Merchant payment,21,night,expense,40
TKQLAB4MVR,2025-11-26 06:56:00,Payment small business,6,morning,expense,20
TKQLAB4LT1,2025-11-26 07:34:00,Payment small business,7,morning,expense,100
TKQLAB4O46,2025-11-26 08:44:00,Payment small business,8,morning,expense,50
TKQLAB61Y7,2025-11-26 16:17:00,Payment small business,16,afternoon,expense,10
TKQLAB6C3H,2025-11-26 18:24:00,Send money,18,evening,expense,40
TKQLAB6NKP,2025-11-26 18:56:00,Payment small business,18,evening,expense,10
TKQLAB6QJQ,2025-11-26 18:57:00,Payment small business,18,evening,expense,100
TKQLAB6P3J,2025-11-26 18:57:00,M-Shwari Withdraw,18,evening,income,200
TKQLAB6XW6,2025-11-26 20:31:00,Payment small business,20,evening,expense,20
TKQLAB74P4,2025-11-26 20:42:00,Merchant payment,20,evening,expense,35
TKQLAB73LZ,2025-11-26 20:47:00,Payment small business,20,evening,expense,26
TKRLAB80FP,2025-11-27 09:51:00,Payment small business,9,morning,expense,30
TKRJRB8NG0,2025-11-27 14:08:00,Funds recieved,14,afternoon,income,100
TKRLAB957F,2025-11-27 15:15:00,Payment small business,15,afternoon,expense,40
TKRLAB8Y91,2025-11-27 15:17:00,Payment small business,15,afternoon,expense,40
TKRLAB90X2,2025-11-27 15:20:00,Merchant payment,15,afternoon,expense,15
TKRLAB99B2,2025-11-27 17:10:00,Bundle purchase,17,evening,expense,5
TKRLAB9KLS,2025-11-27 17:52:00,Bundle purchase,17,evening,expense,5
TKRLAB9ME4,2025-11-27 18:13:00,M-Shwari Withdraw,18,evening,income,100
TKRLAB9JX8,2025-11-27 18:18:00,Payment small business,18,evening,expense,100
TKRLABA7US,2025-11-27 20:04:00,Payment small business,20,evening,expense,40
TKRLABAEK6,2025-11-27 21:20:00,M-Shwari Withdraw,21,night,income,100
TKRLABAEL9,2025-11-27 21:21:00,Payment small business,21,night,expense,10
TKRLABALHR,2025-11-27 21:21:00,Payment small business,21,night,expense,50
TKRLABAN2N,2025-11-27 21:36:00,Payment small business,21,night,expense,26
TKRLABAN4U,2025-11-27 21:40:00,Merchant payment,21,night,expense,10
TKSLABB2JY,2025-11-28 05:29:00,M-Shwari Withdraw,5,morning,income,300
TKSLABB8S2,2025-11-28 05:31:00,Paybill,5,morning,expense,50
TKSLABB2TG,2025-11-28 06:39:00,Payment small business,6,morning,expense,20
TKSLABB7K0,2025-11-28 06:49:00,Payment small business,6,morning,expense,100
TKSLABB3RS,2025-11-28 08:15:00,Merchant payment,8,morning,expense,20
TKSLABBBMR,2025-11-28 08:20:00,Payment small business,8,morning,expense,50
TKSLABD6DH,2025-11-28 18:29:00,Payment small business,18,evening,expense,40
TKSLABD425,2025-11-28 18:58:00,M-Shwari Withdraw,18,evening,income,200
TKSLABD75H,2025-11-28 19:00:00,Offnet Transfer,19,evening,expense,50
TKSLABDE2Z,2025-11-28 19:25:00,Payment small business,19,evening,expense,20
TKSLABDLMQ,2025-11-28 19:25:00,Payment small business,19,evening,expense,100
TKSLABDSP2,2025-11-28 21:02:00,Payment small business,21,night,expense,20
TKSLABDRBX,2025-11-28 21:11:00,Payment small business,21,night,expense,35
TKSLABDPV6,2025-11-28 21:14:00,Payment small business,21,night,expense,26
TKTLABECHG,2025-11-29 06:59:00,M-Shwari Withdraw,6,morning,income,350
TKTLABEE5C,2025-11-29 07:02:00,Payment small business,7,morning,expense,20
TKTLABECQP,2025-11-29 07:27:00,Payment small business,7,morning,expense,80
TKTLABEMU2,2025-11-29 08:32:00,Payment small business,8,morning,expense,40
TKTLABGCCO,2025-11-29 16:58:00,Payment small business,16,afternoon,expense,10
TKTLABGGTG,2025-11-29 17:58:00,Merchant payment,17,evening,expense,20
TKTLABGIW4,2025-11-29 18:23:00,Payment small business,18,evening,expense,100
TKTLABGQXX,2025-11-29 19:30:00,Offnet Transfer,19,evening,expense,60
TKTLABGVO8,2025-11-29 19:38:00,M-Shwari Withdraw,19,evening,income,200
TKTLABGSOQ,2025-11-29 19:39:00,Payment small business,19,evening,expense,50
TKTLABH0AE,2025-11-29 20:31:00,Payment small business,20,evening,expense,75
TKTLABH1Q6,2025-11-29 20:32:00,Bundle purchase,20,evening,expense,8
TKTLABH0FX,2025-11-29 20:38:00,M-Shwari Withdraw,20,evening,income,100
TKTLABH1V3,2025-11-29 20:39:00,Merchant payment,20,evening,expense,100
TKTLABH3MF,2025-11-29 20:49:00,Payment small business,20,evening,expense,20
TKTLABH0S2,2025-11-29 20:55:00,Payment small business,20,evening,expense,40
TKTLABHGPA,2025-11-29 21:41:00,M-Shwari Withdraw,21,night,income,100
TKTLABHF8S,2025-11-29 21:43:00,Payment small business,21,night,expense,70
TKTLABHH45,2025-11-29 22:13:00,Merchant payment,22,night,expense,40
TKULABHY8V,2025-11-30 08:56:00,M-Shwari Withdraw,8,morning,income,200
TKULABHZRO,2025-11-30 09:01:00,M-Shwari Withdraw,9,morning,income,100
TKULABI43N,2025-11-30 09:02:00,Paybill,9,morning,expense,230
TKULABI43N,2025-11-30 09:02:00,Pay Bill Charge,9,morning,expense,5
TKULABHZWC,2025-11-30 09:09:00,Merchant payment,9,morning,expense,35
TKULABIYLJ,2025-11-30 14:02:00,Bundle purchase,14,afternoon,expense,10
TKULABJ3KV,2025-11-30 15:41:00,Bundle purchase,15,afternoon,expense,5
TKUI8BM7ZD,2025-11-30 17:00:00,Funds recieved,17,evening,income,500
TKULABJN7L,2025-11-30 17:15:00,Send money,17,evening,expense,10
TKULABKFU9,2025-11-30 21:35:00,Payment small business,21,night,expense,26
TKULABKBGG,2025-11-30 21:38:00,Payment small business,21,night,expense,20
TKULABKJ1H,2025-11-30 21:45:00,Payment small business,21,night,expense,25
